image_path,original_image,distortion_type,ground_truth,ocr_output,image_accuracy,detection_confidence,correct,status
/content/KSA_Dataset/content/KSA_License_Plate_Project/Gaussian_Blur/car_223.jpg,car_223.jpg,Gaussian_Blur,6983LNJ,S,0.0,85.29217839241028,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Motion_Blur/car_223.jpg,car_223.jpg,Motion_Blur,6983LNJ,,0.0,81.3893735408783,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Dirty/car_223.jpg,car_223.jpg,Dirty,6983LNJ,,0.0,87.55232691764832,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Occlusion/car_223.jpg,car_223.jpg,Occlusion,6983LNJ,,0.0,87.95109987258911,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Rotation/car_223.jpg,car_223.jpg,Rotation,6983LNJ,M3LNJO,61.53846153846154,86.0499620437622,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Tilted/car_223.jpg,car_223.jpg,Tilted,6983LNJ,,0.0,85.73391437530518,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Res/car_223.jpg,car_223.jpg,Low_Res,6983LNJ,VELF2,16.666666666666664,86.96087598800659,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Light/car_223.jpg,car_223.jpg,Low_Light,6983LNJ,16983LNJ,93.33333333333331,89.20215368270874,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Over_Exposed/car_223.jpg,car_223.jpg,Over_Exposed,6983LNJ,VTAFJ16983LNIG,57.14285714285714,87.50868439674377,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Gaussian_Blur/car_173.jpg,car_173.jpg,Gaussian_Blur,3479ZKB,NN,0.0,86.25108599662781,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Motion_Blur/car_173.jpg,car_173.jpg,Motion_Blur,3479ZKB,,0.0,80.52185773849487,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Dirty/car_173.jpg,car_173.jpg,Dirty,3479ZKB,T2VA3179ZKB,66.66666666666666,89.33622241020203,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Occlusion/car_173.jpg,car_173.jpg,Occlusion,3479ZKB,T2VA3179ZKB,66.66666666666666,89.2829954624176,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Rotation/car_173.jpg,car_173.jpg,Rotation,3479ZKB,31737KB,57.14285714285714,86.10910773277283,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Tilted/car_173.jpg,car_173.jpg,Tilted,3479ZKB,19,22.22222222222222,86.18931770324707,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Res/car_173.jpg,car_173.jpg,Low_Res,3479ZKB,2C72SSCQ3,12.5,86.83517575263977,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Light/car_173.jpg,car_173.jpg,Low_Light,3479ZKB,3179ZKB,85.71428571428571,90.0830626487732,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Over_Exposed/car_173.jpg,car_173.jpg,Over_Exposed,3479ZKB,3L79ZKB,85.71428571428571,88.74624371528625,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Gaussian_Blur/car_180.jpg,car_180.jpg,Gaussian_Blur,2520AGJ,LC,0.0,82.0034921169281,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Motion_Blur/car_180.jpg,car_180.jpg,Motion_Blur,2520AGJ,A,25.0,63.86248469352722,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Dirty/car_180.jpg,car_180.jpg,Dirty,2520AGJ,2520AGJ,100.0,86.939537525177,True,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Occlusion/car_180.jpg,car_180.jpg,Occlusion,2520AGJ,2520AGJ,100.0,86.83724403381348,True,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Rotation/car_180.jpg,car_180.jpg,Rotation,2520AGJ,CGO7520AGJ,70.58823529411765,83.70400071144104,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Tilted/car_180.jpg,car_180.jpg,Tilted,2520AGJ,33CO7520KS,35.294117647058826,83.75762701034546,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Res/car_180.jpg,car_180.jpg,Low_Res,2520AGJ,IAS,20.0,82.59798884391785,False,success
/content/KSA_Dataset/content/KSA_License_Plate_Project/Low_Light/car_180.jpg,car_180.jpg,Low_Light,2520AGJ,2520AGJ,100.0,86.80428266525269,True,success
