Original_Image,Distorted_Image_Path,Distortion_Type,Ground_Truth
car_223.jpg,KSA_License_Plate_Project/Gaussian_Blur/car_223.jpg,Gaussian_Blur,6983 LNJ
car_223.jpg,KSA_License_Plate_Project/Motion_Blur/car_223.jpg,Motion_Blur,6983 LNJ
car_223.jpg,KSA_License_Plate_Project/Dirty/car_223.jpg,Dirty,6983 LNJ
car_223.jpg,KSA_License_Plate_Project/Occlusion/car_223.jpg,Occlusion,6983 LNJ
car_223.jpg,KSA_License_Plate_Project/Rotation/car_223.jpg,Rotation,6983 LNJ
car_223.jpg,KSA_License_Plate_Project/Tilted/car_223.jpg,Tilted,6983 LNJ
car_223.jpg,KSA_License_Plate_Project/Low_Res/car_223.jpg,Low_Res,6983 LNJ
car_223.jpg,KSA_License_Plate_Project/Low_Light/car_223.jpg,Low_Light,6983 LNJ
car_223.jpg,KSA_License_Plate_Project/Over_Exposed/car_223.jpg,Over_Exposed,6983 LNJ
car_228.jpg,KSA_License_Plate_Project/Gaussian_Blur/car_228.jpg,Gaussian_Blur,999 GLG
car_228.jpg,KSA_License_Plate_Project/Motion_Blur/car_228.jpg,Motion_Blur,999 GLG
car_228.jpg,KSA_License_Plate_Project/Dirty/car_228.jpg,Dirty,999 GLG
car_228.jpg,KSA_License_Plate_Project/Occlusion/car_228.jpg,Occlusion,999 GLG
car_228.jpg,KSA_License_Plate_Project/Rotation/car_228.jpg,Rotation,999 GLG
car_228.jpg,KSA_License_Plate_Project/Tilted/car_228.jpg,Tilted,999 GLG
car_228.jpg,KSA_License_Plate_Project/Low_Res/car_228.jpg,Low_Res,999 GLG
car_228.jpg,KSA_License_Plate_Project/Low_Light/car_228.jpg,Low_Light,999 GLG
car_228.jpg,KSA_License_Plate_Project/Over_Exposed/car_228.jpg,Over_Exposed,999 GLG
car_198.jpg,KSA_License_Plate_Project/Gaussian_Blur/car_198.jpg,Gaussian_Blur,6881 ULD
car_198.jpg,KSA_License_Plate_Project/Motion_Blur/car_198.jpg,Motion_Blur,6881 ULD
car_198.jpg,KSA_License_Plate_Project/Dirty/car_198.jpg,Dirty,6881 ULD
car_198.jpg,KSA_License_Plate_Project/Occlusion/car_198.jpg,Occlusion,6881 ULD
car_198.jpg,KSA_License_Plate_Project/Rotation/car_198.jpg,Rotation,6881 ULD
car_198.jpg,KSA_License_Plate_Project/Tilted/car_198.jpg,Tilted,6881 ULD
car_198.jpg,KSA_License_Plate_Project/Low_Res/car_198.jpg,Low_Res,6881 ULD
car_198.jpg,KSA_License_Plate_Project/Low_Light/car_198.jpg,Low_Light,6881 ULD
car_198.jpg,KSA_License_Plate_Project/Over_Exposed/car_198.jpg,Over_Exposed,6881 ULD
car_193.jpg,KSA_License_Plate_Project/Gaussian_Blur/car_193.jpg,Gaussian_Blur,3297 UKB
car_193.jpg,KSA_License_Plate_Project/Motion_Blur/car_193.jpg,Motion_Blur,3297 UKB
car_193.jpg,KSA_License_Plate_Project/Dirty/car_193.jpg,Dirty,3297 UKB
car_193.jpg,KSA_License_Plate_Project/Occlusion/car_193.jpg,Occlusion,3297 UKB
car_193.jpg,KSA_License_Plate_Project/Rotation/car_193.jpg,Rotation,3297 UKB
car_193.jpg,KSA_License_Plate_Project/Tilted/car_193.jpg,Tilted,3297 UKB
car_193.jpg,KSA_License_Plate_Project/Low_Res/car_193.jpg,Low_Res,3297 UKB
car_193.jpg,KSA_License_Plate_Project/Low_Light/car_193.jpg,Low_Light,3297 UKB
car_193.jpg,KSA_License_Plate_Project/Over_Exposed/car_193.jpg,Over_Exposed,3297 UKB
car_204.jpg,KSA_License_Plate_Project/Gaussian_Blur/car_204.jpg,Gaussian_Blur,2480 AJD
car_204.jpg,KSA_License_Plate_Project/Motion_Blur/car_204.jpg,Motion_Blur,2480 AJD
car_204.jpg,KSA_License_Plate_Project/Dirty/car_204.jpg,Dirty,2480 AJD
car_204.jpg,KSA_License_Plate_Project/Occlusion/car_204.jpg,Occlusion,2480 AJD
car_204.jpg,KSA_License_Plate_Project/Rotation/car_204.jpg,Rotation,2480 AJD
car_204.jpg,KSA_License_Plate_Project/Tilted/car_204.jpg,Tilted,2480 AJD
car_204.jpg,KSA_License_Plate_Project/Low_Res/car_204.jpg,Low_Res,2480 AJD
car_204.jpg,KSA_License_Plate_Project/Low_Light/car_204.jpg,Low_Light,2480 AJD
car_204.jpg,KSA_License_Plate_Project/Over_Exposed/car_204.jpg,Over_Exposed,2480 AJD
car_196.jpg,KSA_License_Plate_Project/Gaussian_Blur/car_196.jpg,Gaussian_Blur,2015 ZHB
car_196.jpg,KSA_License_Plate_Project/Motion_Blur/car_196.jpg,Motion_Blur,2015 ZHB
car_196.jpg,KSA_License_Plate_Project/Dirty/car_196.jpg,Dirty,2015 ZHB
car_196.jpg,KSA_License_Plate_Project/Occlusion/car_196.jpg,Occlusion,2015 ZHB
car_196.jpg,KSA_License_Plate_Project/Rotation/car_196.jpg,Rotation,2015 ZHB
car_196.jpg,KSA_License_Plate_Project/Tilted/car_196.jpg,Tilted,2015 ZHB
car_196.jpg,KSA_License_Plate_Project/Low_Res/car_196.jpg,Low_Res,2015 ZHB
car_196.jpg,KSA_License_Plate_Project/Low_Light/car_196.jpg,Low_Light,2015 ZHB
car_196.jpg,KSA_License_Plate_Project/Over_Exposed/car_196.jpg,Over_Exposed,2015 ZHB
car_201.jpg,KSA_License_Plate_Project/Gaussian_Blur/car_201.jpg,Gaussian_Blur,6554 NEJ
car_201.jpg,KSA_License_Plate_Project/Motion_Blur/car_201.jpg,Motion_Blur,6554 NEJ
car_201.jpg,KSA_License_Plate_Project/Dirty/car_201.jpg,Dirty,6554 NEJ
car_201.jpg,KSA_License_Plate_Project/Occlusion/car_201.jpg,Occlusion,6554 NEJ
car_201.jpg,KSA_License_Plate_Project/Rotation/car_201.jpg,Rotation,6554 NEJ
car_201.jpg,KSA_License_Plate_Project/Tilted/car_201.jpg,Tilted,6554 NEJ
car_201.jpg,KSA_License_Plate_Project/Low_Res/car_201.jpg,Low_Res,6554 NEJ
car_201.jpg,KSA_License_Plate_Project/Low_Light/car_201.jpg,Low_Light,6554 NEJ
car_201.jpg,KSA_License_Plate_Project/Over_Exposed/car_201.jpg,Over_Exposed,6554 NEJ
car_203.jpg,KSA_License_Plate_Project/Gaussian_Blur/car_203.jpg,Gaussian_Blur,8032 BRJ
car_203.jpg,KSA_License_Plate_Project/Motion_Blur/car_203.jpg,Motion_Blur,8032 BRJ
